code,industry_infos,sector_infos,firstone,firstone_1,firstone_2,firstone_3,firstone_4
AAPL,Consumer,Technology,250.1,346.3,205.51,217.44,236.3
MSFT,Software—Infrastructure,Technology,167.28,187.65,205.05,164.58,154.57
AMZN,Internet,Consumer,-38.44,143.23,31.56,77.78,81.07
GOOG,Internet,Communication,164.36,206.42,189.36,185.25,179.3
GOOGL,Internet,Communication,164.36,206.42,189.36,185.25,179.3
FB,Internet,Communication,74.65,102.85,91.94,103.94,94.97
INTC,Semiconductors,Technology,81.13,46.23,68.23,50.61,33.61
CMCSA,Telecom,Communication,35.49,30.57,40.35,37.38,33.29
PEP,Beverages—Non-Alcoholic,Consumer,42.61,13.22,22.24,23.58,17.14
CSCO,Communication,Technology,30.44,29.73,29.8,30.09,28.63
ADBE,Software—Infrastructure,Technology,12.66,12.33,12.12,11.16,12.61
NVDA,Semiconductors,Technology,16.18,30.03,24.64,23.74,19.12
NFLX,Entertainment,Communication,15.97,6.07,14.49,13.53,17.07
TSLA,Auto,Consumer,33.13,23.21,16.18,11.42,4.38
COST,Discount,Consumer,13.53,12.99,13.24,16.7,12.2
PYPL,Credit,Financial,5.09,8.01,10.87,11.84,10.97
AMGN,Drug,Healthcare,14.76,18.99,18.84,4.64,16.46
AVGO,Semiconductors,Technology,25.9,24.72,19.89,18.76,14.93
TXN,Semiconductors,Technology,21.92,21.29,19.38,19.24,17.45
CHTR,Telecom,Communication,12.03,16.1,12.17,10.2,8.07
SBUX,Restaurants,Consumer,6.75,8.16,17.64,11.53,6.59
QCOM,Semiconductors,Technology,29.34,33.99,27.98,20.27,17.62
GILD,Drug,Healthcare,0.19,3.82,25.92,15.22,17.29
MDLZ,Confectioners,Consumer,8.55,10.03,12.58,10.78,9.61
TMUS,Telecom,Communication,7.13,4.22,6.91,9.78,9.33
FISV,Information,Technology,6.69,3.33,4.28,2.69,3.04
BKNG,Travel,Consumer,-7.0,6.18,7.69,-1.67,-0.55
INTU,Software—Application,Technology,17.94,1.0,2.28,3.8,14.64
ADP,Staffing,Industrials,9.29,6.94,7.01,5.38,8.11
ISRG,Medical,Healthcare,3.66,3.81,3.81,5.17,4.26
VRTX,Biotechnology,Healthcare,7.62,7.7,8.52,0.66924,6.53
MU,Semiconductors,Technology,22.63,23.06,27.2,17.35,6.03
CSX,Railroads,Industrials,8.59,9.34,9.68,11.73,7.06
BIIB,Drug,Healthcare,3.04,3.68,3.29,4.49,4.1
AMAT,Semiconductor,Technology,15.36,17.92,17.12,17.16,13.3
AMD,Semiconductors,Technology,7.86,9.74,9.23,7.1,5.55
ATVI,Electronic,Communication,3.95,5.64,6.39,8.76,6.19
EXC,Utilities—Regulated,Utilities,5.97,3.91,12.03,4.01,-2.89
MAR,Lodging,Consumer,3.77,4.68,2.2,4.22,-0.11
LRCX,Semiconductor,Technology,10.22,11.95,11.8,11.45,10.71
WBA,Pharmaceutical,Healthcare,8.84,35.8,6.26,11.98,10.26
ADI,Semiconductors,Technology,7.83,2.8,0.75687,5.03,4.23
ROST,Apparel,Consumer,3.38,3.67,3.85,4.94,4.76
ADSK,Software—Application,Technology,1.46,0.891,1.37,1.16,1.56
REGN,Biotechnology,Healthcare,9.74,22.29,16.32,30.99,11.15
ILMN,Diagnostics,Healthcare,0.86,1.12,3.17,1.85,1.47
CTSH,Information,Technology,5.63,5.76,5.44,5.12,5.05
XEL,Utilities—Regulated,Utilities,3.8,3.15,6.09,3.11,3.62
JD,Internet,Consumer,-4.71,-8.08,-4.34,1.23,5.58
MNST,Beverages—Non-Alcoholic,Consumer,2.94,3.21,3.37,4.04,3.15
MELI,Internet,Consumer,0.65,-0.46104,0.95225,0.68195,-0.34012
NXPI,Semiconductors,Technology,6.57,6.02,5.19,3.97,3.53
BIDU,Internet,Communication,-1.39,2.68,-25.6,-0.902848,39.59
KHC,Packaged,Consumer,7.76,-2.57,7.33,-0.27,5.63
SIRI,Entertainment,Communication,3.09,3.18,3.43,4.33,2.19
PAYX,Staffing,Industrials,4.31,3.32,3.34,2.63,3.51
EA,Electronic,Communication,2.25,0.66,2.94,2.04,0.76
LULU,Apparel,Consumer,1.9,4.35,1.88,2.08,1.45
EBAY,Internet,Consumer,-13.41,-12.81,2.64,-18.02,6.41
CTAS,Specialty,Industrials,3.14,2.93,3.29,2.66,2.56
WDAY,Software—Application,Technology,-1.02,-0.73253,0.43412,1.06,-0.46522
ORLY,Specialty,Consumer,4.82,5.19,5.59,5.85,5.02
VRSK,Consulting,Industrials,5.06,1.42,2.02,1.54,1.69
WLTW,null,null,,,,,
CSGP,Real,Real,0.89318,0.929,0.64304,0.61148,0.74212
PCAR,Farm,Industrials,6.01,5.11,3.78,4.93,4.7
KLAC,Semiconductor,Technology,7.31,7.17,10.68,6.33,5.67
SPLK,Software—Infrastructure,Technology,-3.04,-1.41,-3.43,-3.84,-4.71
NTES,Electronic,Communication,6.92,8.91,4.92,5.48,6.85
MCHP,Semiconductors,Technology,4.38,3.53,2.42,2.53,1.16
VRSN,Software—Infrastructure,Technology,1.58,3.3,1.57,1.48,1.5
ANSS,Software—Application,Technology,0.70988,2.03,0.85342,0.93716,0.72398
IDXX,Diagnostics,Healthcare,1.94,1.63,1.75,2.03,2.04
CERN,null,null,2.06,1.75,1.76,0.32707,1.72
ALXN,null,null,6.36,5.36,5.78,-10.68,5.58
ASML,Semiconductor,Technology,7.8,20.27,20.51,12.52,16.04
SNPS,Software—Infrastructure,Technology,2.95,3.14,2.01,1.99,1.95
FAST,Industrial,Industrials,2.7,2.31,2.44,2.4,2.11
DLTR,Discount,Consumer,5.36,4.54,2.17,2.82,3.75
CPRT,Auto,Consumer,2.79,2.87,2.6,2.56,2.87
XLNX,null,null,3.0,2.35,2.06,1.88,1.71
CDNS,Software—Application,Technology,2.35,1.77,1.76,1.56,1.87
ALGN,Medical,Healthcare,1.34,1.91,1.81,2.0,2.0
SGEN,Biotechnology,Healthcare,-1.36,-1.75,-2.94,-0.84576,-1.21
WDC,Computer,Technology,0.25,5.64,6.1,6.22,1.97
UAL,Airlines,Industrials,-13.77,-6.46,4.73,-4.34,-13.57
SWKS,Semiconductors,Technology,3.06,4.0,3.26,3.38,3.25
CDW,Information,Technology,2.5,2.15,2.67,2.74,2.33
CHKP,Software—Infrastructure,Technology,1.69,2.6,1.87,1.86,1.83
ULTA,Specialty,Consumer,3.31,2.89,2.15,2.51,2.3
INCY,Biotechnology,Healthcare,0.37992,5.64,1.82,1.49,0.53535
TCOM,Travel,Consumer,-1.3,-1.31,-1.0,2.75,1.52
BMRN,Biotechnology,Healthcare,1.21,-0.57898,-0.36494,0.12941,0.17371
EXPE,Travel,Consumer,-1.22,3.86,3.76,-1.72,-5.78
MXIM,null,null,2.54,2.2,1.84,1.7,2.07
CTXS,Software—Application,Technology,0.60232,1.03,0.51787,0.62766,0.90048
TTWO,Electronic,Communication,1.11,1.44,0.10297,1.52,2.19
FOXA,Entertainment,Communication,2.83,-0.85,7.01,2.53,5.67
AAL,Airlines,Industrials,-16.35,-9.31,1.69,0.19,-12.5
NTAP,Computer,Technology,2.59,2.52,2.24,2.02,3.34
FOX,Entertainment,Communication,2.83,-0.85,7.01,2.53,5.67
LBTYK,Telecom,Communication,10.38,6.36,2.77,111.28,13.85
LBTYA,Telecom,Communication,10.38,6.36,2.77,111.28,13.85
